Rok,Imie,Liczba,plec,Ranking,Kolor
2000,JAKUB,14497,M,1,gold
2000,MATEUSZ,11454,M,2,silver
2000,KACPER,8898,M,3,chocolate
2000,MICHA£,8498,M,4,steelblue
2000,PATRYK,7743,M,5,steelblue
2000,DAWID,7063,M,6,steelblue
2000,KAMIL,6842,M,7,steelblue
2000,PIOTR,5608,M,8,steelblue
2000,SZYMON,5486,M,9,steelblue
2000,PAWE£,5109,M,10,steelblue
2000,MACIEJ,4596,M,11,steelblue
2000,BARTOSZ,4544,M,12,steelblue
2000,DAMIAN,4514,M,13,steelblue
2000,DOMINIK,4488,M,14,steelblue
2000,ADRIAN,4302,M,15,steelblue
2001,JAKUB,18612,M,1,gold
2001,MATEUSZ,9899,M,2,silver
2001,KACPER,8569,M,3,chocolate
2001,MICHA£,8529,M,4,steelblue
2001,DAWID,7203,M,5,steelblue
2001,PATRYK,6800,M,6,steelblue
2001,KAMIL,6115,M,7,steelblue
2001,PIOTR,5444,M,8,steelblue
2001,SZYMON,4971,M,9,steelblue
2001,BARTOSZ,4562,M,10,steelblue
2001,PAWE£,4487,M,11,steelblue
2001,MACIEJ,4375,M,12,steelblue
2001,DOMINIK,4369,M,13,steelblue
2001,ADAM,3721,M,14,steelblue
2001,SEBASTIAN,3699,M,15,steelblue
2002,JAKUB,18018,M,1,gold
2002,MATEUSZ,10177,M,2,silver
2002,KACPER,10048,M,3,chocolate
2002,MICHA£,8362,M,4,steelblue
2002,DAWID,7714,M,5,steelblue
2002,PATRYK,5734,M,6,steelblue
2002,SZYMON,5285,M,7,steelblue
2002,KAMIL,5078,M,8,steelblue
2002,PIOTR,4828,M,9,steelblue
2002,BARTOSZ,4599,M,10,steelblue
2002,DOMINIK,4245,M,11,steelblue
2002,MACIEJ,3907,M,12,steelblue
2002,£UKASZ,3905,M,13,steelblue
2002,ADRIAN,3795,M,14,steelblue
2002,PAWE£,3747,M,15,steelblue
2003,JAKUB,16429,M,1,gold
2003,KACPER,11855,M,2,silver
2003,MATEUSZ,10313,M,3,chocolate
2003,MICHA£,7526,M,4,steelblue
2003,DAWID,6312,M,5,steelblue
2003,SZYMON,5483,M,6,steelblue
2003,PATRYK,5327,M,7,steelblue
2003,KAMIL,4839,M,8,steelblue
2003,BARTOSZ,4605,M,9,steelblue
2003,PIOTR,4507,M,10,steelblue
2003,MACIEJ,4245,M,11,steelblue
2003,DOMINIK,3825,M,12,steelblue
2003,FILIP,3663,M,13,steelblue
2003,PAWE£,3533,M,14,steelblue
2003,ADRIAN,3451,M,15,steelblue
2004,JAKUB,16431,M,1,gold
2004,KACPER,12802,M,2,silver
2004,MATEUSZ,10549,M,3,chocolate
2004,MICHA£,6930,M,4,steelblue
2004,DAWID,5887,M,5,steelblue
2004,SZYMON,5705,M,6,steelblue
2004,KAMIL,5252,M,7,steelblue
2004,BARTOSZ,5141,M,8,steelblue
2004,PATRYK,4845,M,9,steelblue
2004,MACIEJ,4758,M,10,steelblue
2004,PIOTR,4575,M,11,steelblue
2004,FILIP,4179,M,12,steelblue
2004,DOMINIK,3891,M,13,steelblue
2004,PAWE£,3801,M,14,steelblue
2004,MIKO£AJ,3540,M,15,steelblue
2005,JAKUB,15802,M,1,gold
2005,KACPER,12513,M,2,silver
2005,MATEUSZ,9939,M,3,chocolate
2005,MICHA£,6691,M,4,steelblue
2005,SZYMON,6166,M,5,steelblue
2005,BARTOSZ,5536,M,6,steelblue
2005,DAWID,5498,M,7,steelblue
2005,KAMIL,5270,M,8,steelblue
2005,MACIEJ,4811,M,9,steelblue
2005,PIOTR,4656,M,10,steelblue
2005,PAWE£,4543,M,11,steelblue
2005,PATRYK,4418,M,12,steelblue
2005,FILIP,4377,M,13,steelblue
2005,MIKO£AJ,3906,M,14,steelblue
2005,KAROL,3902,M,15,steelblue
2006,JAKUB,15756,M,1,gold
2006,KACPER,12514,M,2,silver
2006,MATEUSZ,8970,M,3,chocolate
2006,SZYMON,7356,M,4,steelblue
2006,BARTOSZ,6970,M,5,steelblue
2006,MICHA£,6589,M,6,steelblue
2006,DAWID,5340,M,7,steelblue
2006,PIOTR,4921,M,8,steelblue
2006,FILIP,4687,M,9,steelblue
2006,MACIEJ,4624,M,10,steelblue
2006,KAMIL,4604,M,11,steelblue
2006,PATRYK,4370,M,12,steelblue
2006,MIKO£AJ,4291,M,13,steelblue
2006,PAWE£,3999,M,14,steelblue
2006,WIKTOR,3994,M,15,steelblue
2007,JAKUB,16118,M,1,gold
2007,KACPER,12196,M,2,silver
2007,MATEUSZ,8660,M,3,chocolate
2007,SZYMON,7959,M,4,steelblue
2007,BARTOSZ,7660,M,5,steelblue
2007,MICHA£,6846,M,6,steelblue
2007,DAWID,5633,M,7,steelblue
2007,FILIP,5595,M,8,steelblue
2007,PIOTR,5227,M,9,steelblue
2007,WIKTOR,4740,M,10,steelblue
2007,MACIEJ,4568,M,11,steelblue
2007,MIKO£AJ,4264,M,12,steelblue
2007,PATRYK,4168,M,13,steelblue
2007,PAWE£,3998,M,14,steelblue
2007,KAMIL,3990,M,15,steelblue
2008,JAKUB,15843,M,1,gold
2008,KACPER,11656,M,2,silver
2008,MATEUSZ,9050,M,3,chocolate
2008,SZYMON,8414,M,4,steelblue
2008,BARTOSZ,7507,M,5,steelblue
2008,FILIP,7363,M,6,steelblue
2008,MICHA£,7226,M,7,steelblue
2008,DAWID,5659,M,8,steelblue
2008,WIKTOR,5507,M,9,steelblue
2008,PIOTR,5372,M,10,steelblue
2008,MACIEJ,4661,M,11,steelblue
2008,PATRYK,4625,M,12,steelblue
2008,MIKO£AJ,4364,M,13,steelblue
2008,IGOR,4265,M,14,steelblue
2008,ADAM,4164,M,15,steelblue
2009,JAKUB,14736,M,1,gold
2009,KACPER,10346,M,2,silver
2009,SZYMON,8986,M,3,chocolate
2009,FILIP,8582,M,4,steelblue
2009,MATEUSZ,8472,M,5,steelblue
2009,MICHA£,7288,M,6,steelblue
2009,BARTOSZ,7204,M,7,steelblue
2009,WIKTOR,5525,M,8,steelblue
2009,PIOTR,5447,M,9,steelblue
2009,DAWID,5303,M,10,steelblue
2009,ADAM,4737,M,11,steelblue
2009,JAN,4595,M,12,steelblue
2009,MACIEJ,4432,M,13,steelblue
2009,IGOR,4339,M,14,steelblue
2009,PATRYK,4247,M,15,steelblue
2010,JAKUB,13764,M,1,gold
2010,SZYMON,10395,M,2,silver
2010,KACPER,8862,M,3,chocolate
2010,FILIP,8663,M,4,steelblue
2010,MICHA£,7620,M,5,steelblue
2010,MATEUSZ,7376,M,6,steelblue
2010,BARTOSZ,6670,M,7,steelblue
2010,ADAM,5590,M,8,steelblue
2010,WOJCIECH,5511,M,9,steelblue
2010,WIKTOR,5316,M,10,steelblue
2010,PIOTR,5191,M,11,steelblue
2010,JAN,5117,M,12,steelblue
2010,DAWID,5044,M,13,steelblue
2010,MIKO£AJ,4768,M,14,steelblue
2010,IGOR,4325,M,15,steelblue
2011,JAKUB,12661,M,1,gold
2011,SZYMON,9345,M,2,silver
2011,FILIP,8456,M,3,chocolate
2011,KACPER,8003,M,4,steelblue
2011,MICHA£,6521,M,5,steelblue
2011,MATEUSZ,6482,M,6,steelblue
2011,BARTOSZ,6014,M,7,steelblue
2011,ADAM,5656,M,8,steelblue
2011,JAN,5491,M,9,steelblue
2011,WOJCIECH,5101,M,10,steelblue
2011,PIOTR,4878,M,11,steelblue
2011,WIKTOR,4641,M,12,steelblue
2011,ANTONI,4544,M,13,steelblue
2011,IGOR,4456,M,14,steelblue
2011,ALEKSANDER,4341,M,15,steelblue
2012,JAKUB,11989,M,1,gold
2012,KACPER,9219,M,2,silver
2012,FILIP,8815,M,3,chocolate
2012,SZYMON,8139,M,4,steelblue
2012,JAN,6632,M,5,steelblue
2012,MICHA£,6092,M,6,steelblue
2012,ANTONI,5890,M,7,steelblue
2012,MATEUSZ,5512,M,8,steelblue
2012,BARTOSZ,5352,M,9,steelblue
2012,ADAM,5200,M,10,steelblue
2012,WOJCIECH,5123,M,11,steelblue
2012,PIOTR,4626,M,12,steelblue
2012,ALEKSANDER,4569,M,13,steelblue
2012,MIKO£AJ,4424,M,14,steelblue
2012,IGOR,4411,M,15,steelblue
2013,JAKUB,10870,M,1,gold
2013,KACPER,8654,M,2,silver
2013,FILIP,8101,M,3,chocolate
2013,SZYMON,7140,M,4,steelblue
2013,JAN,7043,M,5,steelblue
2013,ANTONI,6704,M,6,steelblue
2013,MICHA£,5566,M,7,steelblue
2013,WOJCIECH,5153,M,8,steelblue
2013,ADAM,5029,M,9,steelblue
2013,MATEUSZ,4930,M,10,steelblue
2013,FRANCISZEK,4715,M,11,steelblue
2013,BARTOSZ,4657,M,12,steelblue
2013,ALEKSANDER,4491,M,13,steelblue
2013,PIOTR,4429,M,14,steelblue
2013,MIKO£AJ,4268,M,15,steelblue
2014,JAKUB,10229,M,1,gold
2014,KACPER,7922,M,2,silver
2014,ANTONI,7761,M,3,chocolate
2014,FILIP,7688,M,4,steelblue
2014,JAN,7398,M,5,steelblue
2014,SZYMON,6542,M,6,steelblue
2014,FRANCISZEK,5496,M,7,steelblue
2014,ALEKSANDER,5306,M,8,steelblue
2014,MICHA£,5289,M,9,steelblue
2014,WOJCIECH,5262,M,10,steelblue
2014,ADAM,5262,M,11,steelblue
2014,MIKO£AJ,5203,M,12,steelblue
2014,PIOTR,4399,M,13,steelblue
2014,MATEUSZ,4270,M,14,steelblue
2014,MARCEL,4196,M,15,steelblue
2015,JAKUB,9204,M,1,gold
2015,ANTONI,8332,M,2,silver
2015,SZYMON,7777,M,3,chocolate
2015,JAN,7607,M,4,steelblue
2015,FILIP,7235,M,5,steelblue
2015,KACPER,6867,M,6,steelblue
2015,ALEKSANDER,5800,M,7,steelblue
2015,FRANCISZEK,5765,M,8,steelblue
2015,MIKO£AJ,5655,M,9,steelblue
2015,WOJCIECH,5566,M,10,steelblue
2015,ADAM,5405,M,11,steelblue
2015,MICHA£,5065,M,12,steelblue
2015,MARCEL,4233,M,13,steelblue
2015,WIKTOR,4061,M,14,steelblue
2015,PIOTR,3977,M,15,steelblue
2016,ANTONI,9518,M,1,gold
2016,JAKUB,9307,M,2,silver
2016,SZYMON,8461,M,3,chocolate
2016,JAN,7865,M,4,steelblue
2016,FILIP,7046,M,5,steelblue
2016,FRANCISZEK,6699,M,6,steelblue
2016,MIKO£AJ,6530,M,7,steelblue
2016,ALEKSANDER,6451,M,8,steelblue
2016,KACPER,6282,M,9,steelblue
2016,WOJCIECH,6000,M,10,steelblue
2016,ADAM,5445,M,11,steelblue
2016,MICHA£,4959,M,12,steelblue
2016,MARCEL,4534,M,13,steelblue
2016,WIKTOR,4053,M,14,steelblue
2016,PIOTR,3833,M,15,steelblue
2017,ANTONI,9989,M,1,gold
2017,JAKUB,9316,M,2,silver
2017,JAN,8712,M,3,chocolate
2017,SZYMON,8240,M,4,steelblue
2017,FILIP,7150,M,5,steelblue
2017,FRANCISZEK,7065,M,6,steelblue
2017,ALEKSANDER,6968,M,7,steelblue
2017,MIKO£AJ,6576,M,8,steelblue
2017,WOJCIECH,6346,M,9,steelblue
2017,KACPER,6049,M,10,steelblue
2017,ADAM,5476,M,11,steelblue
2017,MICHA£,5004,M,12,steelblue
2017,MARCEL,4739,M,13,steelblue
2017,STANIS£AW,4319,M,14,steelblue
2017,WIKTOR,4238,M,15,steelblue
2018,ANTONI,9329,M,1,gold
2018,JAKUB,8908,M,2,silver
2018,JAN,8457,M,3,chocolate
2018,SZYMON,8234,M,4,steelblue
2018,ALEKSANDER,7324,M,5,steelblue
2018,FRANCISZEK,7094,M,6,steelblue
2018,FILIP,6407,M,7,steelblue
2018,MIKO£AJ,6008,M,8,steelblue
2018,WOJCIECH,5862,M,9,steelblue
2018,KACPER,5437,M,10,steelblue
2018,ADAM,5168,M,11,steelblue
2018,MARCEL,4661,M,12,steelblue
2018,STANIS£AW,4649,M,13,steelblue
2018,MICHA£,4586,M,14,steelblue
2018,WIKTOR,3908,M,15,steelblue
2019,ANTONI,8550,M,1,gold
2019,JAN,8032,M,2,silver
2019,JAKUB,7966,M,3,chocolate
2019,ALEKSANDER,7432,M,4,steelblue
2019,SZYMON,7177,M,5,steelblue
2019,FRANCISZEK,6805,M,6,steelblue
2019,FILIP,6169,M,7,steelblue
2019,MIKO£AJ,5786,M,8,steelblue
2019,WOJCIECH,5468,M,9,steelblue
2019,ADAM,4899,M,10,steelblue
2019,KACPER,4889,M,11,steelblue
2019,STANIS£AW,4812,M,12,steelblue
2019,MARCEL,4368,M,13,steelblue
2019,LEON,4345,M,14,steelblue
2019,MICHA£,4165,M,15,steelblue
2020,ANTONI,4037,M,1,gold
2020,JAN,3823,M,2,silver
2020,JAKUB,3614,M,3,chocolate
2020,ALEKSANDER,3541,M,4,steelblue
2020,FRANCISZEK,3499,M,5,steelblue
2020,SZYMON,3107,M,6,steelblue
2020,FILIP,2744,M,7,steelblue
2020,MIKO£AJ,2587,M,8,steelblue
2020,STANIS£AW,2522,M,9,steelblue
2020,WOJCIECH,2416,M,10,steelblue
2020,LEON,2302,M,11,steelblue
2020,ADAM,2227,M,12,steelblue
2020,KACPER,2166,M,13,steelblue
2020,NIKODEM,2081,M,14,steelblue
2020,MARCEL,1979,M,15,steelblue
2021,ANTONI,7821,M,1,gold
2021,JAN,6975,M,2,silver
2021,ALEKSANDER,6919,M,3,chocolate
2021,FRANCISZEK,6629,M,4,steelblue
2021,JAKUB,6427,M,5,steelblue
2021,LEON,5296,M,6,steelblue
2021,MIKO£AJ,5205,M,7,steelblue
2021,SZYMON,4962,M,8,steelblue
2021,FILIP,4884,M,9,steelblue
2021,STANIS£AW,4899,M,10,steelblue
2021,WOJCIECH,2302,M,11,steelblue
2021,ADAM,2227,M,12,steelblue
2021,KACPER,2166,M,13,steelblue
2021,NIKODEM,2081,M,14,steelblue
2021,MARCEL,1979,M,15,steelblue
2022,ANTONI,6670,M,1,gold
2022,JAN,6341,M,2,silver
2022,ALEKSANDER,6201,M,3,chocolate
2022,NIKODEM,6155,M,4,steelblue
2022,FRANCISZEK,5696,M,5,steelblue
2022,JAKUB,5535,M,6,steelblue
2022,LEON,5091,M,7,steelblue
2022,MIKO£AJ,4499,M,8,steelblue
2022,STANIS£AW,4265,M,9,steelblue
2022,FILIP,4107,M,10,steelblue
2022,IGANCY,3980,M,11,steelblue
2022,ADAM,3845,M,12,steelblue
2022,KACPER,3720,M,13,steelblue
2022,MARCEL,3595,M,14,steelblue
2022,WOJCIECH,3480,M,15,steelblue
2023,NIKODEM,6532,M,1,gold
2023,ANTONI,5663,M,2,silver
2023,JAN,5638,M,3,chocolate
2023,ALEKSANDER,5625,M,4,steelblue
2023,FRANCISZEK,4965,M,5,steelblue
2023,JAKUB,4474,M,6,steelblue
2023,IGNACY,4166,M,7,steelblue
2023,MIKO£AJ,4081,M,8,steelblue
2023,STANIS£AW,3874,M,9,steelblue
2023,ADAM,3845,M,10,steelblue
2023,KACPER,3720,M,11,steelblue
2023,MARCEL,3595,M,12,steelblue
2023,WOJCIECH,3480,M,13,steelblue
2023,FILIP,3410,M,14,steelblue
2023,LEON,916,M,15,steelblue
2024,NIKODEM,6388,M,1,gold
2024,ANTONI,5404,M,2,silver
2024,JAN,5277,M,3,chocolate
2024,ALEKSANDER,5170,M,4,steelblue
2024,LEON,4669,M,5,steelblue
2024,FRANCISZEK,4574,M,6,steelblue
2024,IGNACY,4229,M,7,steelblue
2024,JAKUB,3938,M,8,steelblue
2024,STANIS£AW,3715,M,9,steelblue
2024,MIKO£AJ,3644,M,10,steelblue
2024,KACPER,3530,M,11,steelblue
2024,ADAM,3460,M,12,steelblue
2024,MARCEL,3325,M,13,steelblue
2024,WOJCIECH,3190,M,14,steelblue
2024,FILIP,3080,M,15,steelblue
